,Total,Very likely,Very likely %,Fairly likely,Fairly likely %,Not very likely,Not very likely %,Not at all likely,Not at all likely %,Don't know,Don't know %,Total 'Likely',Total 'Likely' %,Total 'Not Likely',Total 'Not Likely' %
EE,1000.0,113.0,0.11,199.0,0.2,345.0,0.34,288.0,0.29,55.0,0.06,313.0,0.31,632.0,0.63
LV,1004.0,128.0,0.13,240.0,0.24,380.0,0.38,236.0,0.23,20.0,0.02,368.0,0.37,616.0,0.61
FI,1000.0,116.0,0.12,302.0,0.3,285.0,0.28,267.0,0.27,30.0,0.03,419.0,0.42,552.0,0.55
DK,1005.0,217.0,0.22,210.0,0.21,255.0,0.25,285.0,0.28,38.0,0.04,427.0,0.43,540.0,0.53
SK,1003.0,205.0,0.2,252.0,0.25,300.0,0.3,191.0,0.19,56.0,0.06,457.0,0.45,490.0,0.49
HU,1002.0,224.0,0.22,243.0,0.24,346.0,0.35,130.0,0.13,59.0,0.06,467.0,0.46,476.0,0.48
NL,1008.0,207.0,0.21,257.0,0.25,295.0,0.29,217.0,0.22,33.0,0.03,464.0,0.46,511.0,0.51
SE,1003.0,206.0,0.2,279.0,0.28,261.0,0.26,218.0,0.22,39.0,0.04,485.0,0.48,479.0,0.48
LU,505.0,112.0,0.22,133.0,0.26,146.0,0.29,93.0,0.19,22.0,0.04,245.0,0.48,239.0,0.48
CZ,1002.0,206.0,0.21,284.0,0.28,298.0,0.3,175.0,0.17,40.0,0.04,489.0,0.49,473.0,0.47
AT,1000.0,230.0,0.23,278.0,0.28,254.0,0.25,192.0,0.19,45.0,0.05,509.0,0.51,446.0,0.44
DE,1000.0,228.0,0.23,282.0,0.28,287.0,0.29,161.0,0.16,42.0,0.04,510.0,0.51,448.0,0.45
LT,1001.0,199.0,0.2,308.0,0.31,287.0,0.28,171.0,0.17,37.0,0.04,507.0,0.51,457.0,0.45
ES,1002.0,289.0,0.29,295.0,0.29,186.0,0.19,181.0,0.18,52.0,0.05,583.0,0.58,367.0,0.37
BG,1002.0,265.0,0.27,315.0,0.31,261.0,0.26,120.0,0.12,41.0,0.04,580.0,0.58,381.0,0.38
BE,1000.0,258.0,0.26,319.0,0.32,275.0,0.27,139.0,0.14,10.0,0.01,576.0,0.58,414.0,0.41
SI,1003.0,262.0,0.26,328.0,0.33,244.0,0.24,152.0,0.15,18.0,0.02,589.0,0.59,396.0,0.39
EU27,25563.0,7110.0,0.28,8082.0,0.32,5740.0,0.22,3727.0,0.15,905.0,0.03,15191.0,0.6,9467.0,0.37
CY,503.0,167.0,0.33,137.0,0.27,106.0,0.21,64.0,0.13,29.0,0.06,304.0,0.6,170.0,0.34
PL,1000.0,287.0,0.29,335.0,0.33,230.0,0.23,121.0,0.12,27.0,0.03,622.0,0.62,351.0,0.35
IE,1003.0,323.0,0.32,315.0,0.32,212.0,0.21,100.0,0.1,53.0,0.05,638.0,0.64,312.0,0.31
FR,1009.0,288.0,0.29,375.0,0.37,205.0,0.2,121.0,0.12,20.0,0.02,663.0,0.66,326.0,0.32
HR,1000.0,375.0,0.38,292.0,0.29,230.0,0.23,81.0,0.08,22.0,0.02,667.0,0.67,311.0,0.31
RO,1000.0,296.0,0.3,409.0,0.41,134.0,0.13,72.0,0.07,89.0,0.09,705.0,0.71,205.0,0.2
EL,1001.0,393.0,0.39,317.0,0.32,153.0,0.15,118.0,0.12,19.0,0.02,711.0,0.71,271.0,0.27
IT,1000.0,388.0,0.39,332.0,0.33,139.0,0.14,121.0,0.12,19.0,0.02,720.0,0.72,260.0,0.26
PT,1000.0,298.0,0.3,432.0,0.43,181.0,0.18,68.0,0.07,21.0,0.02,730.0,0.73,249.0,0.25
MT,507.0,302.0,0.6,105.0,0.21,48.0,0.09,38.0,0.07,14.0,0.03,406.0,0.81,86.0,0.16
