,Total,Things are going in the right direction,Things are going in the right direction %,Things are going in the wrong direction,Things are going in the wrong direction %,Neither the one nor the other,Neither the one nor the other %,Don't know,Don't know %
ES,1025.0,138.0,0.14,731.0,0.71,86.0,0.08,70.0,0.07
IT,1024.0,225.0,0.22,635.0,0.62,64.0,0.06,100.0,0.1
FR,1008.0,219.0,0.22,549.0,0.54,74.0,0.07,167.0,0.17
CY,504.0,118.0,0.23,271.0,0.54,85.0,0.17,31.0,0.06
EL,1030.0,260.0,0.25,628.0,0.61,100.0,0.1,41.0,0.04
AT,1010.0,314.0,0.31,473.0,0.47,166.0,0.16,57.0,0.06
SK,1050.0,341.0,0.32,560.0,0.53,68.0,0.07,82.0,0.08
EU27,27034.0,9193.0,0.34,13421.0,0.5,1968.0,0.07,2452.0,0.09
HR,1051.0,363.0,0.35,551.0,0.52,38.0,0.04,99.0,0.09
FI,1022.0,355.0,0.35,662.0,0.65,3.0,0.0,2.0,0.0
SE,1042.0,399.0,0.38,547.0,0.52,37.0,0.04,59.0,0.06
BG,1053.0,401.0,0.38,321.0,0.3,123.0,0.12,207.0,0.2
MT,552.0,214.0,0.39,176.0,0.32,78.0,0.14,85.0,0.15
PL,1017.0,402.0,0.39,366.0,0.36,89.0,0.09,160.0,0.16
RO,1050.0,415.0,0.39,481.0,0.46,69.0,0.07,85.0,0.08
CZ,1050.0,428.0,0.41,615.0,0.59,3.0,0.0,4.0,0.0
DK,1050.0,448.0,0.43,413.0,0.39,138.0,0.13,51.0,0.05
D-E,473.0,203.0,0.43,193.0,0.41,55.0,0.11,22.0,0.05
HU,1049.0,456.0,0.43,469.0,0.45,58.0,0.06,66.0,0.06
NL,1029.0,484.0,0.47,367.0,0.36,119.0,0.11,59.0,0.06
PT,1027.0,479.0,0.47,271.0,0.26,103.0,0.1,173.0,0.17
DE,1588.0,755.0,0.47,616.0,0.39,114.0,0.07,104.0,0.07
BE,1043.0,485.0,0.47,549.0,0.53,4.0,0.0,5.0,0.0
LV,1050.0,504.0,0.48,289.0,0.27,72.0,0.07,185.0,0.18
D-W,1115.0,548.0,0.49,428.0,0.38,63.0,0.06,76.0,0.07
LU,550.0,286.0,0.52,258.0,0.47,4.0,0.01,2.0,0.0
SI,1050.0,590.0,0.56,431.0,0.41,13.0,0.01,15.0,0.02
EE,1011.0,645.0,0.64,360.0,0.36,5.0,0.0,2.0,0.0
LT,1049.0,728.0,0.7,317.0,0.3,3.0,0.0,1.0,0.0
IE,1050.0,760.0,0.73,284.0,0.27,3.0,0.0,3.0,0.0
