,Total,Totally agree,Totally agree %,Tend to agree,Tend to agree %,Tend to disagree,Tend to disagree %,Totally disagree,Totally disagree %,Don't know,Don't know %,Total 'Agree',Total 'Agree' %,Total 'Disagree',Total 'Disagree' %
CY,504.0,11.0,0.02,89.0,0.18,168.0,0.33,223.0,0.44,13.0,0.03,99.0,0.19999999999999998,391.0,0.77
EE,1011.0,2.0,0.0,208.0,0.21,548.0,0.54,249.0,0.25,4.0,0.0,210.0,0.21,797.0,0.79
EL,1030.0,22.0,0.02,207.0,0.2,449.0,0.44,329.0,0.32,23.0,0.02,229.0,0.22,778.0,0.76
LV,1050.0,31.0,0.03,218.0,0.21,353.0,0.34,360.0,0.34,88.0,0.08,249.0,0.24,713.0,0.68
IT,1024.0,43.0,0.04,204.0,0.2,355.0,0.35,371.0,0.36,51.0,0.05,247.0,0.24000000000000002,726.0,0.71
MT,552.0,15.0,0.03,148.0,0.27,201.0,0.36,101.0,0.18,87.0,0.16,163.0,0.30000000000000004,301.0,0.54
CZ,1050.0,46.0,0.04,288.0,0.28,449.0,0.43,267.0,0.25,0.0,0.0,334.0,0.32,716.0,0.6799999999999999
ES,1025.0,45.0,0.05,279.0,0.27,339.0,0.33,309.0,0.3,53.0,0.05,324.0,0.32,648.0,0.63
SI,1050.0,76.0,0.07,292.0,0.28,504.0,0.48,173.0,0.16,5.0,0.01,368.0,0.35000000000000003,677.0,0.64
BG,1053.0,96.0,0.09,308.0,0.29,233.0,0.22,255.0,0.25,160.0,0.15,404.0,0.38,489.0,0.47
RO,1050.0,67.0,0.07,328.0,0.31,337.0,0.32,287.0,0.27,31.0,0.03,395.0,0.38,624.0,0.5900000000000001
LT,1049.0,40.0,0.04,357.0,0.34,460.0,0.44,191.0,0.18,0.0,0.0,398.0,0.38,651.0,0.62
FR,1008.0,75.0,0.07,328.0,0.33,314.0,0.31,206.0,0.2,86.0,0.09,403.0,0.4,519.0,0.51
SK,1050.0,120.0,0.11,312.0,0.3,395.0,0.38,172.0,0.16,50.0,0.05,433.0,0.41,567.0,0.54
HU,1049.0,106.0,0.1,359.0,0.34,319.0,0.31,219.0,0.21,45.0,0.04,465.0,0.44000000000000006,538.0,0.52
EU27,27034.0,3099.0,0.12,8980.0,0.33,8184.0,0.3,5451.0,0.2,1320.0,0.05,12079.0,0.45,13635.0,0.5
LU,550.0,37.0,0.07,226.0,0.41,247.0,0.45,40.0,0.07,0.0,0.0,263.0,0.48,287.0,0.52
PL,1017.0,86.0,0.09,414.0,0.41,288.0,0.28,126.0,0.12,103.0,0.1,500.0,0.5,414.0,0.4
PT,1027.0,68.0,0.07,439.0,0.43,280.0,0.27,172.0,0.17,66.0,0.06,508.0,0.5,453.0,0.44000000000000006
BE,1043.0,74.0,0.07,448.0,0.43,389.0,0.37,128.0,0.12,4.0,0.01,522.0,0.5,517.0,0.49
AT,1010.0,236.0,0.23,299.0,0.3,225.0,0.22,210.0,0.21,40.0,0.04,535.0,0.53,435.0,0.43
IE,1050.0,94.0,0.09,481.0,0.46,369.0,0.35,104.0,0.1,2.0,0.0,576.0,0.55,473.0,0.44999999999999996
FI,1022.0,123.0,0.12,441.0,0.43,301.0,0.3,155.0,0.15,2.0,0.0,564.0,0.55,456.0,0.44999999999999996
D-E,473.0,88.0,0.19,181.0,0.38,130.0,0.27,64.0,0.14,11.0,0.02,269.0,0.5700000000000001,194.0,0.41000000000000003
HR,1051.0,153.0,0.15,449.0,0.43,298.0,0.28,118.0,0.11,33.0,0.03,602.0,0.58,415.0,0.39
DE,1588.0,409.0,0.26,618.0,0.39,379.0,0.24,143.0,0.09,40.0,0.02,1026.0,0.65,522.0,0.32999999999999996
NL,1029.0,207.0,0.2,465.0,0.45,243.0,0.24,69.0,0.07,46.0,0.04,672.0,0.65,312.0,0.31
D-W,1115.0,303.0,0.27,440.0,0.4,258.0,0.23,88.0,0.08,26.0,0.02,743.0,0.67,346.0,0.31
DK,1050.0,354.0,0.34,404.0,0.38,207.0,0.2,66.0,0.06,19.0,0.02,757.0,0.72,274.0,0.26
SE,1042.0,263.0,0.25,507.0,0.49,187.0,0.18,76.0,0.07,9.0,0.01,770.0,0.74,263.0,0.25
