,TOTAL,Very confident,Very confident %,Somewhat confident,Somewhat confident %,Not very confident,Not very confident %,Not at all confident,Not at all confident %,DK/NA,DK/NA %,Total 'Confident',Total 'Confident' %,Total 'Not confident',Total 'Not confident' %
EU28,26576.00,4042.00,0.15,14726.00,0.56,5638.00,0.21,1428.00,0.05,742.00,0.03,18769.00,0.71,7066.00,0.26
BE,1001.00,102.00,0.10,489.00,0.49,307.00,0.31,79.00,0.08,24.00,0.02,591.00,0.59,386.00,0.39
BG,1001.00,135.00,0.14,431.00,0.43,328.00,0.33,83.00,0.08,24.00,0.02,566.00,0.57,411.00,0.41
CZ,1000.00,81.00,0.08,591.00,0.59,252.00,0.25,42.00,0.04,34.00,0.04,671.00,0.67,294.00,0.29
DK,1002.00,272.00,0.27,605.00,0.60,75.00,0.08,11.00,0.01,40.00,0.04,877.00,0.87,85.00,0.09
DE,1000.00,146.00,0.14,566.00,0.57,229.00,0.23,37.00,0.04,23.00,0.02,712.00,0.71,266.00,0.27
EE,1000.00,90.00,0.09,549.00,0.55,251.00,0.25,46.00,0.05,64.00,0.06,639.00,0.64,297.00,0.30
IE,1002.00,270.00,0.27,571.00,0.57,126.00,0.13,24.00,0.02,10.00,0.01,841.00,0.84,150.00,0.15
EL,1001.00,123.00,0.12,518.00,0.52,292.00,0.29,55.00,0.06,13.00,0.01,641.00,0.64,347.00,0.35
ES,1004.00,133.00,0.13,426.00,0.42,342.00,0.34,78.00,0.08,26.00,0.03,559.00,0.55,420.00,0.42
FR,1004.00,110.00,0.11,622.00,0.62,153.00,0.15,88.00,0.09,31.00,0.03,732.00,0.73,241.00,0.24
HR,1005.00,244.00,0.24,584.00,0.58,132.00,0.13,24.00,0.03,22.00,0.02,827.00,0.82,156.00,0.16
IT,1000.00,141.00,0.14,593.00,0.59,193.00,0.19,57.00,0.06,16.00,0.02,734.00,0.73,250.00,0.25
CY,500.00,150.00,0.30,242.00,0.48,81.00,0.16,18.00,0.04,9.00,0.02,392.00,0.78,99.00,0.20
LV,1001.00,105.00,0.10,582.00,0.58,250.00,0.25,36.00,0.04,28.00,0.03,687.00,0.68,286.00,0.29
LT,1002.00,146.00,0.14,509.00,0.51,241.00,0.24,38.00,0.04,69.00,0.07,654.00,0.65,279.00,0.28
LU,505.00,41.00,0.08,300.00,0.60,108.00,0.21,37.00,0.07,19.00,0.04,341.00,0.68,145.00,0.28
HU,1002.00,166.00,0.16,408.00,0.41,318.00,0.32,60.00,0.06,50.00,0.05,574.00,0.57,378.00,0.38
MT,520.00,132.00,0.25,247.00,0.48,78.00,0.15,31.00,0.06,32.00,0.06,379.00,0.73,109.00,0.21
NL,1007.00,100.00,0.10,633.00,0.63,178.00,0.17,57.00,0.06,39.00,0.04,733.00,0.73,235.00,0.23
AT,1000.00,149.00,0.15,565.00,0.56,209.00,0.21,55.00,0.06,23.00,0.02,713.00,0.71,264.00,0.27
PL,1000.00,146.00,0.15,560.00,0.56,233.00,0.23,31.00,0.03,30.00,0.03,706.00,0.71,264.00,0.26
PT,1000.00,123.00,0.12,441.00,0.44,332.00,0.33,69.00,0.07,35.00,0.04,564.00,0.56,401.00,0.40
RO,1000.00,270.00,0.27,523.00,0.52,111.00,0.11,41.00,0.04,55.00,0.06,794.00,0.79,152.00,0.15
SI,1002.00,118.00,0.12,572.00,0.57,264.00,0.26,15.00,0.02,34.00,0.03,690.00,0.69,279.00,0.28
SK,1001.00,74.00,0.07,665.00,0.66,211.00,0.21,26.00,0.03,25.00,0.03,739.00,0.73,237.00,0.24
FI,1001.00,225.00,0.22,604.00,0.60,106.00,0.11,20.00,0.02,47.00,0.05,829.00,0.82,125.00,0.13
SE,1000.00,90.00,0.09,571.00,0.57,256.00,0.26,46.00,0.04,37.00,0.04,661.00,0.66,302.00,0.30
UK,1015.00,231.00,0.23,568.00,0.56,143.00,0.14,46.00,0.04,27.00,0.03,799.00,0.79,188.00,0.18
