,TOTAL,"Yes, definitely","Yes, definitely %","Yes, to some extent","Yes, to some extent %","No, not really","No, not really %","No, definitely not","No, definitely not %",DK/NA,DK/NA %,Total 'Yes',Total 'Yes' %,Total 'No',Total 'No' %
EU28,26576.00,11958.00,0.45,9949.00,0.38,2643.00,0.10,1118.00,0.04,908.00,0.03,21907.00,0.83,3761.00,0.14
BE,1001.00,350.00,0.35,401.00,0.40,158.00,0.16,66.00,0.06,26.00,0.03,751.00,0.75,224.00,0.22
BG,1001.00,597.00,0.60,225.00,0.22,68.00,0.07,74.00,0.07,38.00,0.04,822.00,0.82,141.00,0.14
CZ,1000.00,437.00,0.44,325.00,0.32,160.00,0.16,32.00,0.03,46.00,0.05,762.00,0.76,192.00,0.19
DK,1002.00,273.00,0.27,480.00,0.48,147.00,0.15,42.00,0.04,60.00,0.06,753.00,0.75,188.00,0.19
DE,1000.00,416.00,0.42,420.00,0.42,94.00,0.09,46.00,0.05,23.00,0.02,836.00,0.84,140.00,0.14
EE,1000.00,268.00,0.27,470.00,0.47,151.00,0.15,31.00,0.03,81.00,0.08,738.00,0.74,182.00,0.18
IE,1002.00,381.00,0.38,451.00,0.45,103.00,0.10,36.00,0.04,32.00,0.03,832.00,0.83,139.00,0.14
EL,1001.00,599.00,0.60,274.00,0.27,45.00,0.05,54.00,0.05,29.00,0.03,873.00,0.87,99.00,0.10
ES,1004.00,546.00,0.54,343.00,0.34,52.00,0.05,39.00,0.04,25.00,0.03,889.00,0.88,91.00,0.09
FR,1004.00,383.00,0.38,436.00,0.43,93.00,0.09,56.00,0.06,36.00,0.04,819.00,0.81,149.00,0.15
HR,1005.00,421.00,0.42,379.00,0.38,131.00,0.13,36.00,0.03,38.00,0.04,800.00,0.80,167.00,0.16
IT,1000.00,580.00,0.58,273.00,0.27,78.00,0.08,37.00,0.04,31.00,0.03,853.00,0.85,115.00,0.12
CY,500.00,335.00,0.67,112.00,0.22,16.00,0.03,17.00,0.04,20.00,0.04,446.00,0.89,33.00,0.07
LV,1001.00,351.00,0.35,419.00,0.42,130.00,0.13,38.00,0.04,63.00,0.06,770.00,0.77,168.00,0.17
LT,1002.00,417.00,0.41,339.00,0.34,98.00,0.10,51.00,0.05,96.00,0.10,756.00,0.75,149.00,0.15
LU,505.00,181.00,0.36,231.00,0.46,54.00,0.11,26.00,0.05,12.00,0.02,412.00,0.82,80.00,0.16
HU,1002.00,552.00,0.55,282.00,0.28,81.00,0.08,28.00,0.03,59.00,0.06,834.00,0.83,109.00,0.11
MT,520.00,312.00,0.60,133.00,0.25,35.00,0.07,9.00,0.02,30.00,0.06,446.00,0.85,44.00,0.09
NL,1007.00,345.00,0.34,464.00,0.46,145.00,0.14,26.00,0.03,28.00,0.03,808.00,0.80,171.00,0.17
AT,1000.00,425.00,0.42,429.00,0.43,96.00,0.10,30.00,0.03,20.00,0.02,854.00,0.85,126.00,0.13
PL,1000.00,460.00,0.46,328.00,0.33,124.00,0.12,41.00,0.04,46.00,0.05,789.00,0.79,165.00,0.16
PT,1000.00,462.00,0.46,361.00,0.36,112.00,0.11,30.00,0.03,35.00,0.04,823.00,0.82,142.00,0.14
RO,1000.00,580.00,0.58,237.00,0.24,86.00,0.08,56.00,0.06,41.00,0.04,817.00,0.82,142.00,0.14
SI,1002.00,425.00,0.43,435.00,0.43,61.00,0.06,42.00,0.04,39.00,0.04,860.00,0.86,103.00,0.10
SK,1001.00,426.00,0.43,414.00,0.41,94.00,0.09,36.00,0.04,30.00,0.03,840.00,0.84,130.00,0.13
FI,1001.00,371.00,0.37,441.00,0.44,119.00,0.12,22.00,0.02,48.00,0.05,812.00,0.81,141.00,0.14
SE,1000.00,445.00,0.45,414.00,0.41,89.00,0.09,22.00,0.02,30.00,0.03,860.00,0.86,111.00,0.11
UK,1015.00,358.00,0.35,444.00,0.44,137.00,0.14,35.00,0.03,40.00,0.04,803.00,0.79,172.00,0.17
