levels,geo,TIME_PERIOD,OBS_VALUE
1) Very Bad,SK,2019,0.013
2) Bad,SK,2019,0.060
3) Fair,SK,2019,0.181
4) Good,SK,2019,0.503
5) Very Good,SK,2019,0.244
1) Very Bad,SI,2019,0.011
2) Bad,SI,2019,0.053
3) Fair,SI,2019,0.186
4) Good,SI,2019,0.489
5) Very Good,SI,2019,0.260
1) Very Bad,SE,2019,0.010
2) Bad,SE,2019,0.033
3) Fair,SE,2019,0.157
4) Good,SE,2019,0.506
5) Very Good,SE,2019,0.293
1) Very Bad,RO,2019,0.008
2) Bad,RO,2019,0.025
3) Fair,RO,2019,0.131
4) Good,RO,2019,0.495
5) Very Good,RO,2019,0.341
1) Very Bad,PT,2019,0.016
2) Bad,PT,2019,0.059
3) Fair,PT,2019,0.311
4) Good,PT,2019,0.495
5) Very Good,PT,2019,0.119
1) Very Bad,PL,2019,0.012
2) Bad,PL,2019,0.062
3) Fair,PL,2019,0.223
4) Good,PL,2019,0.517
5) Very Good,PL,2019,0.186
1) Very Bad,NL,2019,0.007
2) Bad,NL,2019,0.044
3) Fair,NL,2019,0.163
4) Good,NL,2019,0.524
5) Very Good,NL,2019,0.262
1) Very Bad,MT,2019,0.005
2) Bad,MT,2019,0.017
3) Fair,MT,2019,0.140
4) Good,MT,2019,0.591
5) Very Good,MT,2019,0.247
1) Very Bad,LV,2019,0.008
2) Bad,LV,2019,0.076
3) Fair,LV,2019,0.341
4) Good,LV,2019,0.515
5) Very Good,LV,2019,0.060
1) Very Bad,LU,2019,0.015
2) Bad,LU,2019,0.059
3) Fair,LU,2019,0.167
4) Good,LU,2019,0.495
5) Very Good,LU,2019,0.265
1) Very Bad,LT,2019,0.013
2) Bad,LT,2019,0.060
3) Fair,LT,2019,0.342
4) Good,LT,2019,0.487
5) Very Good,LT,2019,0.098
1) Very Bad,IT,2019,0.006
2) Bad,IT,2019,0.021
3) Fair,IT,2019,0.129
4) Good,IT,2019,0.644
5) Very Good,IT,2019,0.200
1) Very Bad,IE,2019,0.006
2) Bad,IE,2019,0.021
3) Fair,IE,2019,0.105
4) Good,IE,2019,0.384
5) Very Good,IE,2019,0.484
1) Very Bad,HU,2019,0.017
2) Bad,HU,2019,0.054
3) Fair,HU,2019,0.243
4) Good,HU,2019,0.491
5) Very Good,HU,2019,0.194
1) Very Bad,HR,2019,0.019
2) Bad,HR,2019,0.075
3) Fair,HR,2019,0.176
4) Good,HR,2019,0.374
5) Very Good,HR,2019,0.356
1) Very Bad,FR,2019,0.009
2) Bad,FR,2019,0.055
3) Fair,FR,2019,0.205
4) Good,FR,2019,0.478
5) Very Good,FR,2019,0.254
1) Very Bad,FI,2019,0.004
2) Bad,FI,2019,0.035
3) Fair,FI,2019,0.203
4) Good,FI,2019,0.541
5) Very Good,FI,2019,0.218
1) Very Bad,EU27,2019,0.010
2) Bad,EU27,2019,0.045
3) Fair,EU27,2019,0.177
4) Good,EU27,2019,0.524
5) Very Good,EU27,2019,0.244
1) Very Bad,ES,2019,0.008
2) Bad,ES,2019,0.032
3) Fair,ES,2019,0.122
4) Good,ES,2019,0.617
5) Very Good,ES,2019,0.222
1) Very Bad,EL,2019,0.008
2) Bad,EL,2019,0.022
3) Fair,EL,2019,0.070
4) Good,EL,2019,0.314
5) Very Good,EL,2019,0.587
1) Very Bad,EE,2019,0.010
2) Bad,EE,2019,0.069
3) Fair,EE,2019,0.244
4) Good,EE,2019,0.523
5) Very Good,EE,2019,0.154
1) Very Bad,DK,2019,0.018
2) Bad,DK,2019,0.060
3) Fair,DK,2019,0.196
4) Good,DK,2019,0.496
5) Very Good,DK,2019,0.231
1) Very Bad,DE,2019,0.014
2) Bad,DE,2019,0.056
3) Fair,DE,2019,0.211
4) Good,DE,2019,0.506
5) Very Good,DE,2019,0.213
1) Very Bad,CZ,2019,0.010
2) Bad,CZ,2019,0.050
3) Fair,CZ,2019,0.186
4) Good,CZ,2019,0.489
5) Very Good,CZ,2019,0.264
1) Very Bad,CY,2019,0.005
2) Bad,CY,2019,0.021
3) Fair,CY,2019,0.114
4) Good,CY,2019,0.311
5) Very Good,CY,2019,0.549
1) Very Bad,BG,2019,0.007
2) Bad,BG,2019,0.038
3) Fair,BG,2019,0.148
4) Good,BG,2019,0.599
5) Very Good,BG,2019,0.208
1) Very Bad,BE,2019,0.012
2) Bad,BE,2019,0.061
3) Fair,BE,2019,0.136
4) Good,BE,2019,0.467
5) Very Good,BE,2019,0.324
1) Very Bad,AT,2019,0.014
2) Bad,AT,2019,0.039
3) Fair,AT,2019,0.170
4) Good,AT,2019,0.407
5) Very Good,AT,2019,0.370
