,Base: Total,Base: Weighted Total,News or current affairs programmes on TV,News or current affairs programmes on TV pct,News or current affairs programmes on the radio,News or current affairs programmes on the radio pct,Social media,Social media pct,Printed newspapers or magazines,Printed newspapers or magazines pct,"News websites, including newspaper and television news websites","News websites, including newspaper and television news websites pct",Adverts or other information produced by political parties,Adverts or other information produced by political parties pct,"Friend, family or colleagues","Friend, family or colleagues pct",Books/journals,Books/journals pct,School/college/university,School/college/university pct,Another source,Another source pct,I don’t get any information on this subject,I don’t get any information on this subject pct,Don't know,Don't know pct
EU27,18156.000,18156.000,6252.000,0.344,3629.000,0.200,7459.000,0.411,2490.000,0.137,7409.000,0.408,1838.000,0.101,4765.000,0.262,1645.000,0.091,2712.000,0.149,2104.000,0.116,2162.000,0.119,698.000,0.038
BE,548.000,548.000,206.000,0.377,111.000,0.202,203.000,0.370,96.000,0.176,221.000,0.404,49.000,0.090,139.000,0.254,37.000,0.067,98.000,0.179,75.000,0.138,96.000,0.176,22.000,0.041
BG,513.000,513.000,221.000,0.432,107.000,0.209,254.000,0.496,38.000,0.074,229.000,0.447,81.000,0.158,136.000,0.265,31.000,0.059,45.000,0.087,45.000,0.088,39.000,0.076,13.000,0.024
CZ,520.000,520.000,215.000,0.413,55.000,0.106,256.000,0.492,56.000,0.108,312.000,0.600,35.000,0.066,103.000,0.199,24.000,0.047,89.000,0.171,66.000,0.127,64.000,0.123,10.000,0.020
DK,535.000,535.000,196.000,0.366,112.000,0.209,220.000,0.411,49.000,0.091,226.000,0.422,41.000,0.077,163.000,0.305,41.000,0.076,132.000,0.246,87.000,0.163,83.000,0.156,27.000,0.050
DE,1548.000,1548.000,491.000,0.317,372.000,0.241,549.000,0.355,241.000,0.156,514.000,0.332,183.000,0.118,421.000,0.272,177.000,0.114,241.000,0.155,201.000,0.130,170.000,0.110,67.000,0.043
EE,513.000,513.000,205.000,0.400,122.000,0.238,279.000,0.544,57.000,0.111,307.000,0.598,26.000,0.051,187.000,0.365,23.000,0.046,61.000,0.119,52.000,0.101,44.000,0.086,9.000,0.018
IE,568.000,568.000,181.000,0.318,115.000,0.202,243.000,0.428,79.000,0.139,225.000,0.396,60.000,0.105,145.000,0.255,57.000,0.100,95.000,0.168,79.000,0.139,74.000,0.130,13.000,0.024
EL,547.000,547.000,140.000,0.256,69.000,0.126,302.000,0.553,65.000,0.118,231.000,0.423,72.000,0.132,171.000,0.312,41.000,0.075,118.000,0.216,92.000,0.169,87.000,0.159,11.000,0.021
ES,1519.000,1519.000,574.000,0.378,287.000,0.189,697.000,0.459,217.000,0.143,668.000,0.440,133.000,0.088,430.000,0.283,178.000,0.117,209.000,0.137,167.000,0.110,147.000,0.097,34.000,0.023
FR,1512.000,1512.000,471.000,0.312,266.000,0.176,533.000,0.352,249.000,0.165,503.000,0.333,167.000,0.111,386.000,0.255,113.000,0.075,215.000,0.142,158.000,0.105,241.000,0.159,97.000,0.064
HR,527.000,527.000,177.000,0.337,80.000,0.152,270.000,0.513,88.000,0.166,238.000,0.451,57.000,0.108,154.000,0.292,28.000,0.052,76.000,0.144,50.000,0.095,51.000,0.096,13.000,0.024
IT,1498.000,1498.000,585.000,0.391,270.000,0.181,572.000,0.382,235.000,0.157,663.000,0.443,108.000,0.072,310.000,0.207,163.000,0.109,234.000,0.157,180.000,0.120,173.000,0.115,50.000,0.033
CY,107.000,107.000,25.000,0.231,31.000,0.293,69.000,0.647,11.000,0.104,43.000,0.399,12.000,0.113,35.000,0.329,8.000,0.074,12.000,0.115,9.000,0.088,11.000,0.104,3.000,0.029
LV,538.000,538.000,193.000,0.359,107.000,0.199,289.000,0.538,28.000,0.053,186.000,0.346,59.000,0.110,154.000,0.287,30.000,0.055,62.000,0.116,56.000,0.104,68.000,0.126,17.000,0.031
LT,535.000,535.000,203.000,0.379,135.000,0.253,263.000,0.491,46.000,0.086,243.000,0.455,64.000,0.120,147.000,0.276,33.000,0.062,57.000,0.106,57.000,0.106,43.000,0.081,11.000,0.020
LU,106.000,106.000,28.000,0.260,29.000,0.272,59.000,0.556,29.000,0.278,59.000,0.557,9.000,0.084,31.000,0.288,19.000,0.178,17.000,0.165,12.000,0.112,12.000,0.112,2.000,0.021
HU,553.000,553.000,117.000,0.212,77.000,0.139,261.000,0.472,67.000,0.121,219.000,0.397,91.000,0.164,159.000,0.287,46.000,0.083,58.000,0.105,57.000,0.104,57.000,0.103,22.000,0.041
MT,103.000,103.000,38.000,0.370,17.000,0.167,72.000,0.698,1.000,0.007,54.000,0.522,12.000,0.118,43.000,0.415,9.000,0.090,5.000,0.052,4.000,0.037,4.000,0.037,4.000,0.036
