,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,The European Youth Event (EYE)/EYE Online,The European Youth Event (EYE)/EYE Online pct
EU27,2268.000,2051.000,1552.000,0.757,499.000,0.243
BE,55.000,53.000,41.000,0.764,13.000,0.236
BG,79.000,83.000,64.000,0.765,20.000,0.235
CZ,53.000,52.000,43.000,0.826,9.000,0.174
DK,52.000,52.000,33.000,0.637,19.000,0.363
DE,155.000,157.000,106.000,0.675,51.000,0.325
EE,35.000,33.000,24.000,0.752,8.000,0.248
IE,98.000,88.000,59.000,0.676,29.000,0.324
EL,107.000,105.000,85.000,0.810,20.000,0.190
ES,182.000,179.000,134.000,0.747,45.000,0.253
FR,139.000,134.000,100.000,0.747,34.000,0.253
HR,79.000,80.000,72.000,0.905,8.000,0.095
IT,166.000,163.000,127.000,0.781,36.000,0.219
CY,13.000,14.000,12.000,0.860,2.000,0.140
LV,99.000,97.000,84.000,0.865,13.000,0.135
LT,57.000,56.000,42.000,0.747,14.000,0.253
LU,10.000,10.000,8.000,0.771,2.000,0.229
HU,68.000,68.000,59.000,0.862,9.000,0.138
MT,16.000,16.000,16.000,1.000,0.000,0.000
NL,49.000,49.000,33.000,0.676,16.000,0.324
AT,57.000,54.000,36.000,0.665,18.000,0.335
PL,181.000,182.000,150.000,0.819,33.000,0.181
PT,134.000,128.000,112.000,0.878,16.000,0.122
RO,67.000,62.000,48.000,0.781,14.000,0.219
SI,77.000,77.000,59.000,0.763,18.000,0.237
SK,68.000,69.000,58.000,0.834,11.000,0.166
FI,108.000,106.000,84.000,0.794,22.000,0.206
SE,64.000,61.000,38.000,0.622,23.000,0.378
