,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,The 'This time I'm voting' campaign,The 'This time I'm voting' campaign pct
EU27,1705.000,1652.000,1189.000,0.719,463.000,0.281
BE,31.000,31.000,28.000,0.880,4.000,0.120
BG,51.000,54.000,41.000,0.752,13.000,0.248
CZ,28.000,28.000,22.000,0.795,6.000,0.205
DK,54.000,54.000,43.000,0.793,11.000,0.207
DE,131.000,132.000,94.000,0.713,38.000,0.287
EE,22.000,21.000,16.000,0.787,4.000,0.213
IE,56.000,50.000,36.000,0.713,14.000,0.287
EL,68.000,67.000,49.000,0.732,18.000,0.268
ES,157.000,156.000,114.000,0.727,43.000,0.273
FR,127.000,129.000,91.000,0.705,38.000,0.295
HR,71.000,74.000,57.000,0.772,17.000,0.228
IT,79.000,77.000,51.000,0.668,25.000,0.332
CY,10.000,10.000,9.000,0.927,1.000,0.073
LV,42.000,44.000,30.000,0.688,14.000,0.312
LT,54.000,57.000,45.000,0.788,12.000,0.212
LU,11.000,12.000,10.000,0.839,2.000,0.161
HU,71.000,73.000,58.000,0.795,15.000,0.205
MT,9.000,7.000,7.000,0.899,1.000,0.101
NL,49.000,47.000,37.000,0.785,10.000,0.215
AT,44.000,43.000,35.000,0.817,8.000,0.183
PL,194.000,197.000,139.000,0.709,57.000,0.291
PT,59.000,56.000,42.000,0.750,14.000,0.250
RO,77.000,71.000,41.000,0.575,30.000,0.425
SI,57.000,60.000,44.000,0.736,16.000,0.264
SK,48.000,47.000,38.000,0.812,9.000,0.188
FI,50.000,50.000,38.000,0.765,12.000,0.235
SE,55.000,54.000,36.000,0.665,18.000,0.335
