,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,None of these,None of these pct
EU27,11544.000,11451.000,5671.000,0.495,5780.000,0.505
BE,312.000,312.000,127.000,0.409,184.000,0.591
BG,352.000,363.000,164.000,0.452,199.000,0.548
CZ,282.000,286.000,116.000,0.405,170.000,0.595
DK,282.000,286.000,147.000,0.514,139.000,0.486
DE,1039.000,1038.000,593.000,0.571,445.000,0.429
EE,281.000,280.000,83.000,0.297,197.000,0.703
IE,399.000,391.000,226.000,0.578,165.000,0.422
EL,401.000,403.000,186.000,0.462,217.000,0.538
ES,969.000,966.000,458.000,0.474,509.000,0.526
FR,847.000,847.000,425.000,0.502,421.000,0.498
HR,343.000,348.000,132.000,0.379,216.000,0.621
IT,921.000,920.000,422.000,0.459,497.000,0.541
CY,67.000,68.000,22.000,0.332,45.000,0.668
LV,323.000,323.000,144.000,0.445,179.000,0.555
LT,360.000,368.000,165.000,0.449,203.000,0.551
LU,63.000,62.000,37.000,0.597,25.000,0.403
HU,350.000,347.000,144.000,0.414,204.000,0.586
MT,73.000,71.000,26.000,0.361,45.000,0.639
NL,312.000,322.000,169.000,0.526,152.000,0.474
AT,367.000,366.000,209.000,0.573,156.000,0.427
PL,997.000,1002.000,471.000,0.471,530.000,0.529
PT,414.000,404.000,174.000,0.432,229.000,0.568
RO,373.000,361.000,181.000,0.501,180.000,0.499
SI,363.000,369.000,145.000,0.394,223.000,0.606
SK,341.000,342.000,134.000,0.391,209.000,0.609
FI,360.000,358.000,160.000,0.448,197.000,0.552
SE,353.000,346.000,198.000,0.571,149.000,0.429
