,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,Don't know,Don't know pct
EU27,11544.000,11451.000,10947.000,0.956,504.000,0.044
BE,312.000,312.000,297.000,0.953,15.000,0.047
BG,352.000,363.000,344.000,0.946,19.000,0.054
CZ,282.000,286.000,263.000,0.922,22.000,0.078
DK,282.000,286.000,271.000,0.945,16.000,0.055
DE,1039.000,1038.000,1000.000,0.964,38.000,0.036
EE,281.000,280.000,274.000,0.979,6.000,0.021
IE,399.000,391.000,373.000,0.955,18.000,0.045
EL,401.000,403.000,384.000,0.954,19.000,0.046
ES,969.000,966.000,925.000,0.957,41.000,0.043
FR,847.000,847.000,814.000,0.961,33.000,0.039
HR,343.000,348.000,327.000,0.941,20.000,0.059
IT,921.000,920.000,881.000,0.958,39.000,0.042
CY,67.000,68.000,63.000,0.925,5.000,0.075
LV,323.000,323.000,307.000,0.950,16.000,0.050
LT,360.000,368.000,349.000,0.951,18.000,0.049
LU,63.000,62.000,59.000,0.951,3.000,0.049
HU,350.000,347.000,341.000,0.981,7.000,0.019
MT,73.000,71.000,68.000,0.967,2.000,0.033
NL,312.000,322.000,311.000,0.965,11.000,0.035
AT,367.000,366.000,331.000,0.904,35.000,0.096
PL,997.000,1002.000,937.000,0.936,64.000,0.064
PT,414.000,404.000,396.000,0.980,8.000,0.020
RO,373.000,361.000,345.000,0.954,17.000,0.046
SI,363.000,369.000,355.000,0.962,14.000,0.038
SK,341.000,342.000,325.000,0.950,17.000,0.050
FI,360.000,358.000,351.000,0.982,6.000,0.018
SE,353.000,346.000,332.000,0.959,14.000,0.041
