,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,European Parliament Ambassador Schools,European Parliament Ambassador Schools pct
EU27,2066.000,2029.000,1502.000,0.740,527.000,0.260
BE,51.000,51.000,38.000,0.744,13.000,0.256
BG,99.000,102.000,75.000,0.733,27.000,0.267
CZ,65.000,64.000,50.000,0.779,14.000,0.221
DK,50.000,50.000,36.000,0.720,14.000,0.280
DE,174.000,174.000,127.000,0.732,47.000,0.268
EE,36.000,37.000,35.000,0.927,3.000,0.073
IE,78.000,70.000,51.000,0.735,19.000,0.265
EL,89.000,90.000,79.000,0.881,11.000,0.119
ES,175.000,178.000,125.000,0.705,53.000,0.295
FR,168.000,170.000,109.000,0.640,61.000,0.360
HR,58.000,62.000,51.000,0.815,11.000,0.185
IT,158.000,165.000,130.000,0.790,35.000,0.210
CY,11.000,12.000,9.000,0.791,2.000,0.209
LV,77.000,83.000,60.000,0.729,22.000,0.271
LT,61.000,63.000,43.000,0.688,20.000,0.312
LU,9.000,8.000,8.000,0.894,1.000,0.106
HU,63.000,63.000,49.000,0.784,14.000,0.216
MT,15.000,13.000,13.000,1.000,0.000,0.000
NL,51.000,56.000,38.000,0.675,18.000,0.325
AT,54.000,53.000,41.000,0.777,12.000,0.223
PL,118.000,119.000,96.000,0.803,23.000,0.197
PT,74.000,76.000,62.000,0.819,14.000,0.181
RO,61.000,60.000,46.000,0.769,14.000,0.231
SI,72.000,75.000,66.000,0.883,9.000,0.117
SK,66.000,66.000,55.000,0.833,11.000,0.167
FI,63.000,62.000,53.000,0.858,9.000,0.142
SE,70.000,65.000,44.000,0.676,21.000,0.324
