,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,Euroscola,Euroscola pct
EU27,1475.000,1365.000,1027.000,0.753,338.000,0.247
BE,15.000,16.000,14.000,0.890,2.000,0.110
BG,37.000,43.000,34.000,0.779,10.000,0.221
CZ,37.000,36.000,31.000,0.870,5.000,0.130
DK,34.000,35.000,22.000,0.625,13.000,0.375
DE,116.000,117.000,82.000,0.701,35.000,0.299
EE,40.000,39.000,26.000,0.673,13.000,0.327
IE,47.000,45.000,30.000,0.661,15.000,0.339
EL,89.000,93.000,75.000,0.807,18.000,0.193
ES,91.000,88.000,64.000,0.731,24.000,0.269
FR,79.000,79.000,55.000,0.703,23.000,0.297
HR,43.000,46.000,40.000,0.880,5.000,0.120
IT,120.000,127.000,107.000,0.846,20.000,0.154
CY,21.000,23.000,23.000,1.000,0.000,0.000
LV,66.000,64.000,47.000,0.737,17.000,0.263
LT,42.000,43.000,30.000,0.695,13.000,0.305
LU,10.000,9.000,5.000,0.530,4.000,0.470
HU,36.000,33.000,27.000,0.793,7.000,0.207
MT,32.000,29.000,23.000,0.780,6.000,0.220
NL,27.000,32.000,23.000,0.721,9.000,0.279
AT,39.000,39.000,29.000,0.752,10.000,0.248
PL,99.000,99.000,74.000,0.747,25.000,0.253
PT,93.000,87.000,66.000,0.764,20.000,0.236
RO,69.000,68.000,51.000,0.747,17.000,0.253
SI,50.000,53.000,37.000,0.707,15.000,0.293
SK,61.000,60.000,44.000,0.731,16.000,0.269
FI,41.000,40.000,32.000,0.781,9.000,0.219
SE,41.000,38.000,26.000,0.689,12.000,0.311
