,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,Visits to the European Parliament/House of European History/Parlamentarium ,Visits to the European Parliament/House of European History/Parlamentarium pct
EU27,3555.000,3406.000,2395.000,0.703,1010.000,0.297
BE,112.000,112.000,80.000,0.712,32.000,0.288
BG,125.000,123.000,94.000,0.762,29.000,0.238
CZ,64.000,64.000,49.000,0.775,14.000,0.225
DK,101.000,100.000,70.000,0.698,30.000,0.302
DE,307.000,307.000,197.000,0.643,110.000,0.357
EE,126.000,127.000,107.000,0.841,20.000,0.159
IE,119.000,131.000,74.000,0.564,57.000,0.436
EL,113.000,110.000,73.000,0.663,37.000,0.337
ES,277.000,270.000,195.000,0.722,75.000,0.278
FR,247.000,248.000,171.000,0.692,76.000,0.308
HR,104.000,106.000,85.000,0.800,21.000,0.200
IT,298.000,287.000,219.000,0.763,68.000,0.237
CY,21.000,22.000,17.000,0.800,4.000,0.200
LV,121.000,122.000,86.000,0.707,36.000,0.293
LT,130.000,128.000,94.000,0.734,34.000,0.266
LU,22.000,21.000,14.000,0.658,7.000,0.342
HU,69.000,72.000,50.000,0.692,22.000,0.308
MT,31.000,33.000,26.000,0.782,7.000,0.218
NL,113.000,118.000,71.000,0.607,46.000,0.393
AT,111.000,110.000,64.000,0.582,46.000,0.418
PL,257.000,253.000,191.000,0.756,62.000,0.244
PT,141.000,142.000,103.000,0.728,39.000,0.272
RO,112.000,109.000,86.000,0.788,23.000,0.212
SI,121.000,118.000,95.000,0.806,23.000,0.194
SK,116.000,116.000,92.000,0.795,24.000,0.205
FI,93.000,91.000,70.000,0.769,21.000,0.231
SE,104.000,105.000,71.000,0.683,33.000,0.317
