,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,"Events organised by the European Parliament Liaison Office, e.g. attended a debate with a MEP","Events organised by the European Parliament Liaison Office, e.g. attended a debate with a MEP pct"
EU27,2875.000,2788.000,1679.000,0.602,1109.000,0.398
BE,59.000,58.000,37.000,0.629,22.000,0.371
BG,101.000,102.000,68.000,0.669,34.000,0.331
CZ,64.000,65.000,46.000,0.704,19.000,0.296
DK,75.000,76.000,48.000,0.623,29.000,0.377
DE,244.000,243.000,120.000,0.493,123.000,0.507
EE,47.000,51.000,41.000,0.801,10.000,0.199
IE,84.000,85.000,50.000,0.589,35.000,0.411
EL,115.000,114.000,79.000,0.689,36.000,0.311
ES,271.000,263.000,176.000,0.669,87.000,0.331
FR,169.000,165.000,95.000,0.579,69.000,0.421
HR,68.000,67.000,44.000,0.646,24.000,0.354
IT,244.000,246.000,152.000,0.617,94.000,0.383
CY,17.000,17.000,13.000,0.751,4.000,0.249
LV,82.000,84.000,67.000,0.800,17.000,0.200
LT,132.000,131.000,78.000,0.596,53.000,0.404
LU,12.000,12.000,8.000,0.634,4.000,0.366
HU,88.000,88.000,54.000,0.608,34.000,0.392
MT,19.000,20.000,18.000,0.889,2.000,0.111
NL,62.000,64.000,33.000,0.518,31.000,0.482
AT,97.000,94.000,58.000,0.613,36.000,0.387
PL,234.000,234.000,167.000,0.712,67.000,0.288
PT,103.000,104.000,69.000,0.663,35.000,0.337
RO,114.000,113.000,63.000,0.558,50.000,0.442
SI,79.000,82.000,63.000,0.769,19.000,0.231
SK,66.000,68.000,49.000,0.719,19.000,0.281
FI,134.000,132.000,75.000,0.569,57.000,0.431
SE,95.000,90.000,46.000,0.513,44.000,0.487
