,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,Events or online activities organised by together.eu,Events or online activities organised by together.eu pct
EU27,1920.000,1810.000,1245.000,0.688,564.000,0.312
BE,26.000,25.000,20.000,0.786,5.000,0.214
BG,91.000,94.000,72.000,0.762,22.000,0.238
CZ,50.000,53.000,36.000,0.692,16.000,0.308
DK,50.000,51.000,28.000,0.545,23.000,0.455
DE,170.000,168.000,108.000,0.644,60.000,0.356
EE,34.000,35.000,27.000,0.776,8.000,0.224
IE,78.000,69.000,45.000,0.655,24.000,0.345
EL,78.000,78.000,56.000,0.717,22.000,0.283
ES,165.000,160.000,108.000,0.675,52.000,0.325
FR,104.000,101.000,69.000,0.680,32.000,0.320
HR,49.000,51.000,39.000,0.772,12.000,0.228
IT,122.000,121.000,84.000,0.696,37.000,0.304
CY,13.000,13.000,9.000,0.704,4.000,0.296
LV,55.000,63.000,44.000,0.696,19.000,0.304
LT,85.000,84.000,62.000,0.745,21.000,0.255
LU,10.000,9.000,6.000,0.607,4.000,0.393
HU,47.000,44.000,30.000,0.687,14.000,0.313
MT,9.000,8.000,6.000,0.733,2.000,0.267
NL,40.000,40.000,27.000,0.683,13.000,0.317
AT,70.000,65.000,45.000,0.689,20.000,0.311
PL,215.000,213.000,150.000,0.702,64.000,0.298
PT,73.000,76.000,53.000,0.694,23.000,0.306
RO,61.000,58.000,43.000,0.730,16.000,0.270
SI,50.000,50.000,39.000,0.786,11.000,0.214
SK,53.000,53.000,43.000,0.803,10.000,0.197
FI,56.000,54.000,41.000,0.759,13.000,0.241
SE,66.000,64.000,46.000,0.711,19.000,0.289
