,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,Petitions to the European Parliament,Petitions to the European Parliament pct
EU27,4256.000,4196.000,3245.000,0.773,951.000,0.227
BE,106.000,108.000,89.000,0.828,18.000,0.172
BG,146.000,140.000,111.000,0.790,29.000,0.210
CZ,84.000,85.000,70.000,0.830,14.000,0.170
DK,66.000,66.000,54.000,0.816,12.000,0.184
DE,385.000,383.000,246.000,0.642,137.000,0.358
EE,124.000,121.000,103.000,0.854,18.000,0.146
IE,148.000,155.000,117.000,0.756,38.000,0.244
EL,122.000,125.000,103.000,0.822,22.000,0.178
ES,411.000,412.000,349.000,0.847,63.000,0.153
FR,287.000,291.000,230.000,0.790,61.000,0.210
HR,114.000,120.000,103.000,0.859,17.000,0.141
IT,267.000,269.000,222.000,0.824,47.000,0.176
CY,21.000,22.000,21.000,0.948,1.000,0.052
LV,122.000,126.000,109.000,0.864,17.000,0.136
LT,80.000,77.000,60.000,0.775,17.000,0.225
LU,40.000,40.000,26.000,0.639,15.000,0.361
HU,151.000,150.000,120.000,0.800,30.000,0.200
MT,27.000,27.000,23.000,0.860,4.000,0.140
NL,91.000,94.000,77.000,0.819,17.000,0.181
AT,123.000,126.000,80.000,0.636,46.000,0.364
PL,507.000,515.000,422.000,0.819,93.000,0.181
PT,187.000,175.000,142.000,0.813,33.000,0.187
RO,133.000,126.000,96.000,0.761,30.000,0.239
SI,152.000,147.000,113.000,0.769,34.000,0.231
SK,130.000,130.000,106.000,0.818,24.000,0.182
FI,145.000,144.000,114.000,0.791,30.000,0.209
SE,87.000,89.000,65.000,0.723,25.000,0.277
