,Base: Total,Base: Weighted Total,Not mentioned,Not mentioned pct,Contacting an MEP about an issue,Contacting an MEP about an issue pct
EU27,2715.000,2613.000,1961.000,0.750,652.000,0.250
BE,55.000,57.000,41.000,0.722,16.000,0.278
BG,91.000,92.000,74.000,0.814,17.000,0.186
CZ,78.000,78.000,66.000,0.844,12.000,0.156
DK,44.000,46.000,36.000,0.786,10.000,0.214
DE,195.000,195.000,150.000,0.769,45.000,0.231
EE,100.000,101.000,89.000,0.885,12.000,0.115
IE,129.000,129.000,110.000,0.850,19.000,0.150
EL,90.000,86.000,60.000,0.695,26.000,0.305
ES,241.000,241.000,177.000,0.732,64.000,0.268
FR,251.000,254.000,186.000,0.733,68.000,0.267
HR,77.000,75.000,55.000,0.737,20.000,0.263
IT,219.000,212.000,149.000,0.702,63.000,0.298
CY,18.000,21.000,19.000,0.908,2.000,0.092
LV,63.000,58.000,54.000,0.920,5.000,0.080
LT,92.000,92.000,81.000,0.888,10.000,0.112
LU,14.000,15.000,14.000,0.945,1.000,0.055
HU,56.000,56.000,39.000,0.692,17.000,0.308
MT,25.000,25.000,20.000,0.816,5.000,0.184
NL,43.000,46.000,33.000,0.715,13.000,0.285
AT,50.000,50.000,34.000,0.682,16.000,0.318
PL,297.000,293.000,225.000,0.770,67.000,0.230
PT,58.000,50.000,39.000,0.775,11.000,0.225
RO,61.000,58.000,45.000,0.771,13.000,0.229
SI,91.000,92.000,71.000,0.771,21.000,0.229
SK,93.000,92.000,69.000,0.753,23.000,0.247
FI,97.000,96.000,81.000,0.842,15.000,0.158
SE,87.000,84.000,61.000,0.717,24.000,0.283
