,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,83.000,0.005,88.000,0.005,142.000,0.008,255.000,0.014,425.000,0.023,1140.000,0.063,1390.000,0.077,2346.000,0.129,3332.000,0.184,3084.000,0.170,5637.000,0.310,233.000,0.013,8.000
BE,548.000,548.000,4.000,0.008,2.000,0.003,4.000,0.008,9.000,0.016,7.000,0.012,41.000,0.075,59.000,0.108,107.000,0.196,117.000,0.214,92.000,0.167,96.000,0.176,9.000,0.017,7.600
BG,513.000,513.000,1.000,0.001,1.000,0.002,2.000,0.005,8.000,0.016,8.000,0.016,30.000,0.059,29.000,0.056,47.000,0.091,55.000,0.108,75.000,0.146,253.000,0.493,4.000,0.007,8.600
CZ,520.000,520.000,4.000,0.007,3.000,0.006,1.000,0.002,6.000,0.012,12.000,0.024,39.000,0.075,33.000,0.064,62.000,0.119,102.000,0.196,87.000,0.167,169.000,0.324,2.000,0.004,8.100
DK,535.000,535.000,4.000,0.007,0.000,0.000,5.000,0.009,12.000,0.022,20.000,0.038,42.000,0.078,53.000,0.099,86.000,0.161,99.000,0.185,84.000,0.158,125.000,0.233,5.000,0.010,7.700
DE,1548.000,1548.000,6.000,0.004,14.000,0.009,24.000,0.015,39.000,0.025,56.000,0.036,147.000,0.095,141.000,0.091,252.000,0.163,287.000,0.185,235.000,0.152,320.000,0.207,28.000,0.018,7.500
EE,513.000,513.000,2.000,0.004,1.000,0.002,2.000,0.005,2.000,0.003,3.000,0.006,27.000,0.053,32.000,0.063,78.000,0.151,87.000,0.169,119.000,0.231,155.000,0.302,5.000,0.010,8.300
IE,568.000,568.000,5.000,0.009,2.000,0.004,4.000,0.008,15.000,0.027,19.000,0.033,31.000,0.055,48.000,0.084,79.000,0.138,109.000,0.191,100.000,0.177,149.000,0.262,7.000,0.013,7.800
EL,547.000,547.000,4.000,0.007,0.000,0.000,3.000,0.006,7.000,0.013,10.000,0.019,12.000,0.023,31.000,0.057,57.000,0.104,87.000,0.159,103.000,0.188,227.000,0.415,5.000,0.010,8.500
ES,1519.000,1519.000,2.000,0.001,2.000,0.001,3.000,0.002,12.000,0.008,17.000,0.011,64.000,0.042,104.000,0.069,187.000,0.123,251.000,0.165,334.000,0.220,537.000,0.353,5.000,0.004,8.400
FR,1512.000,1512.000,5.000,0.003,7.000,0.005,7.000,0.005,13.000,0.009,32.000,0.021,91.000,0.060,94.000,0.062,171.000,0.113,265.000,0.175,239.000,0.158,558.000,0.369,30.000,0.020,8.300
HR,527.000,527.000,4.000,0.008,3.000,0.005,6.000,0.011,10.000,0.019,1.000,0.002,24.000,0.045,18.000,0.034,59.000,0.111,76.000,0.145,116.000,0.221,206.000,0.392,3.000,0.006,8.400
IT,1498.000,1498.000,2.000,0.001,0.000,0.000,1.000,0.001,9.000,0.006,16.000,0.011,41.000,0.027,79.000,0.053,168.000,0.112,336.000,0.224,313.000,0.209,527.000,0.352,6.000,0.004,8.500
CY,107.000,107.000,0.000,0.000,1.000,0.013,1.000,0.011,1.000,0.008,1.000,0.007,5.000,0.051,4.000,0.036,12.000,0.112,17.000,0.161,15.000,0.139,48.000,0.449,2.000,0.014,8.500
LV,538.000,538.000,2.000,0.005,3.000,0.006,7.000,0.012,5.000,0.008,10.000,0.019,30.000,0.056,39.000,0.072,62.000,0.115,92.000,0.172,84.000,0.157,199.000,0.370,4.000,0.008,8.200
LT,535.000,535.000,4.000,0.007,2.000,0.003,4.000,0.008,11.000,0.021,11.000,0.021,31.000,0.058,17.000,0.032,50.000,0.093,82.000,0.153,92.000,0.171,222.000,0.416,10.000,0.018,8.400
LU,106.000,106.000,5.000,0.051,1.000,0.013,1.000,0.007,3.000,0.033,3.000,0.024,11.000,0.105,8.000,0.072,16.000,0.149,6.000,0.052,13.000,0.121,37.000,0.350,2.000,0.022,7.400
HU,553.000,553.000,3.000,0.005,2.000,0.003,6.000,0.011,7.000,0.013,19.000,0.035,41.000,0.075,41.000,0.074,71.000,0.128,90.000,0.163,100.000,0.181,167.000,0.303,6.000,0.010,8.000
MT,103.000,103.000,1.000,0.007,1.000,0.007,2.000,0.022,1.000,0.013,0.000,0.000,7.000,0.070,4.000,0.035,11.000,0.104,16.000,0.151,22.000,0.215,39.000,0.376,0.000,0.000,8.300
NL,578.000,578.000,4.000,0.006,4.000,0.007,5.000,0.009,8.000,0.014,14.000,0.025,54.000,0.093,89.000,0.153,105.000,0.182,153.000,0.264,77.000,0.132,60.000,0.105,6.000,0.010,7.200
AT,528.000,528.000,4.000,0.008,3.000,0.006,6.000,0.012,16.000,0.030,23.000,0.044,30.000,0.057,55.000,0.104,67.000,0.126,94.000,0.178,84.000,0.159,124.000,0.236,21.000,0.039,7.600
PL,1496.000,1496.000,16.000,0.011,16.000,0.011,24.000,0.016,22.000,0.015,58.000,0.039,130.000,0.087,161.000,0.108,206.000,0.137,289.000,0.193,227.000,0.152,318.000,0.213,29.000,0.019,7.500
PT,564.000,564.000,1.000,0.001,1.000,0.001,0.000,0.000,0.000,0.000,1.000,0.003,21.000,0.037,24.000,0.043,39.000,0.068,100.000,0.177,104.000,0.185,273.000,0.485,0.000,0.000,8.900
RO,532.000,532.000,2.000,0.004,1.000,0.003,2.000,0.004,5.000,0.009,5.000,0.010,14.000,0.027,18.000,0.033,24.000,0.045,46.000,0.087,57.000,0.107,350.000,0.658,7.000,0.013,9.100
SI,528.000,528.000,4.000,0.008,2.000,0.004,3.000,0.006,11.000,0.022,10.000,0.019,43.000,0.082,52.000,0.099,91.000,0.172,116.000,0.219,83.000,0.157,111.000,0.210,1.000,0.001,7.600
