,Base: Total,Base: Weighted Total,A great deal,A great deal pct,Some,Some pct,Not very much,Not very much pct,None at all,None at all pct,Don't know,Don't know pct
EU27,18156.000,18156.000,1389.000,0.076,3726.000,0.205,5970.000,0.329,6425.000,0.354,647.000,0.036
BE,548.000,548.000,22.000,0.040,71.000,0.130,178.000,0.325,262.000,0.477,15.000,0.028
BG,513.000,513.000,36.000,0.071,78.000,0.153,174.000,0.338,205.000,0.400,20.000,0.038
CZ,520.000,520.000,13.000,0.025,62.000,0.119,179.000,0.344,258.000,0.496,9.000,0.017
DK,535.000,535.000,38.000,0.070,121.000,0.227,202.000,0.377,147.000,0.274,28.000,0.052
DE,1548.000,1548.000,149.000,0.097,385.000,0.248,563.000,0.363,381.000,0.246,70.000,0.045
EE,513.000,513.000,16.000,0.031,71.000,0.138,184.000,0.359,222.000,0.432,20.000,0.040
IE,568.000,568.000,72.000,0.127,135.000,0.238,175.000,0.308,175.000,0.309,10.000,0.018
EL,547.000,547.000,29.000,0.054,106.000,0.194,179.000,0.327,219.000,0.401,13.000,0.024
ES,1519.000,1519.000,159.000,0.105,336.000,0.221,514.000,0.339,487.000,0.321,22.000,0.015
FR,1512.000,1512.000,99.000,0.065,230.000,0.152,365.000,0.241,747.000,0.494,71.000,0.047
HR,527.000,527.000,11.000,0.021,71.000,0.134,164.000,0.311,253.000,0.481,28.000,0.053
IT,1498.000,1498.000,97.000,0.065,330.000,0.220,515.000,0.343,515.000,0.344,41.000,0.028
CY,107.000,107.000,8.000,0.074,15.000,0.144,33.000,0.309,46.000,0.429,5.000,0.044
LV,538.000,538.000,20.000,0.038,63.000,0.117,175.000,0.325,248.000,0.462,31.000,0.058
LT,535.000,535.000,66.000,0.124,107.000,0.201,177.000,0.331,157.000,0.294,27.000,0.050
LU,106.000,106.000,3.000,0.024,17.000,0.161,37.000,0.351,43.000,0.410,6.000,0.054
HU,553.000,553.000,34.000,0.062,94.000,0.170,187.000,0.338,225.000,0.407,13.000,0.024
MT,103.000,103.000,3.000,0.028,8.000,0.078,52.000,0.506,35.000,0.345,4.000,0.043
NL,578.000,578.000,31.000,0.054,113.000,0.195,223.000,0.386,194.000,0.336,17.000,0.029
AT,528.000,528.000,69.000,0.131,134.000,0.253,180.000,0.340,133.000,0.253,12.000,0.023
PL,1496.000,1496.000,114.000,0.076,354.000,0.237,514.000,0.344,433.000,0.290,80.000,0.053
PT,564.000,564.000,41.000,0.072,126.000,0.223,192.000,0.341,198.000,0.351,7.000,0.013
RO,532.000,532.000,53.000,0.100,118.000,0.222,158.000,0.298,195.000,0.366,7.000,0.014
SI,528.000,528.000,12.000,0.022,85.000,0.162,182.000,0.345,234.000,0.443,15.000,0.028
SK,528.000,528.000,32.000,0.060,117.000,0.222,159.000,0.302,192.000,0.363,28.000,0.053
FI,548.000,548.000,18.000,0.033,88.000,0.160,183.000,0.333,242.000,0.441,18.000,0.033
SE,564.000,564.000,37.000,0.065,109.000,0.193,196.000,0.347,193.000,0.343,30.000,0.053
